model_family,feature_set,scope,n,mae,rmse,r2,directional_accuracy,prev_rmse,prev_r2,rmse_redux_vs_prev_pct,r2_gain_vs_prev
elasticnet,M3_company,Consumer Discretionary,486,0.2061121798493916,0.399689526699036,0.06783097208275013,0.7448559670781894,0.4179059354458422,-0.019075149201694508,4.358973443957441,0.08690612128444464
elasticnet,M4_idio_vol,Consumer Discretionary,486,0.20530362020886583,0.40139063957322796,0.05987930400873065,0.7551440329218106,0.399689526699036,0.06783097208275013,-0.4256085687911643,-0.00795166807401948
elasticnet,M5_text,Consumer Discretionary,486,0.20561957387445212,0.4020353911439923,0.056856656947439355,0.7530864197530864,0.40139063957322796,0.05987930400873065,-0.16062944852173067,-0.003022647061291295
elasticnet,M0_baseline,Consumer Staples,440,0.10000203576635243,0.15654347248477005,-0.2257635178866153,0.6409090909090909,,,,
elasticnet,M1_macro,Consumer Staples,440,0.11288834622576406,0.1647857893600389,-0.35823925610061247,0.5818181818181818,0.15654347248477005,-0.2257635178866153,-5.265193587724166,-0.13247573821399716
elasticnet,M2_sector,Consumer Staples,440,0.11575748469009688,0.17392940348080832,-0.5131527794718378,0.575,0.1647857893600389,-0.35823925610061247,-5.548788009135679,-0.15491352337122533
elasticnet,M3_company,Consumer Staples,440,0.09855520038763753,0.1661039493397132,-0.38005591222621926,0.5795454545454546,0.17392940348080832,-0.5131527794718378,4.499212890107216,0.13309686724561853
elasticnet,M4_idio_vol,Consumer Staples,440,0.09820302932010143,0.16279435088716748,-0.32560894438868737,0.5727272727272728,0.1661039493397132,-0.38005591222621926,1.9924863109527764,0.05444696783753189
elasticnet,M5_text,Consumer Staples,440,0.09913632869757266,0.16350222184546664,-0.33716217313380437,0.5795454545454546,0.16279435088716748,-0.32560894438868737,-0.43482525925594673,-0.011553228745116995
elasticnet,M0_baseline,Energy,437,0.3454933928820442,0.5163521850155799,-0.002969092841799137,0.5102974828375286,,,,
elasticnet,M1_macro,Energy,437,0.3382742287532478,0.5118692774243311,0.014370622488110496,0.494279176201373,0.5163521850155799,-0.002969092841799137,0.8681879773808927,0.017339715329909633
elasticnet,M2_sector,Energy,437,0.3060281256803474,0.4887171672390742,0.10151526799286692,0.6224256292906178,0.5118692774243311,0.014370622488110496,4.52305133485559,0.08714464550475642
elasticnet,M3_company,Energy,437,0.2943381365473555,0.48437062893134925,0.11742603255704731,0.6819221967963387,0.4887171672390742,0.10151526799286692,0.8893770464991045,0.01591076456418039
elasticnet,M4_idio_vol,Energy,437,0.2887702825746871,0.48073733176384575,0.13061686883725532,0.6887871853546911,0.48437062893134925,0.11742603255704731,0.7501068294581595,0.013190836280208007
elasticnet,M5_text,Energy,437,0.289307577717388,0.48094249826218854,0.12987464915726632,0.6864988558352403,0.48073733176384575,0.13061686883725532,-0.042677463302054304,-0.000742219679988998
elasticnet,M0_baseline,Financials,491,0.14908070593666956,0.26218786635638275,-0.03116183330128286,0.6639511201629328,,,,
elasticnet,M1_macro,Financials,491,0.16337935156307765,0.27620361097235635,-0.14435390358208489,0.6415478615071283,0.26218786635638275,-0.03116183330128286,-5.34568773557297,-0.11319207028080203
elasticnet,M2_sector,Financials,491,0.16176780216798775,0.27525345979300037,-0.13649420171757587,0.6191446028513238,0.27620361097235635,-0.14435390358208489,0.3440038948118893,0.007859701864509017
elasticnet,M3_company,Financials,491,0.15189972004527003,0.27062341215532754,-0.09858175570171013,0.594704684317719,0.27525345979300037,-0.13649420171757587,1.6821033389207087,0.03791244601586574
elasticnet,M4_idio_vol,Financials,491,0.1476565290564792,0.2666096036807116,-0.06623572522705445,0.5987780040733197,0.27062341215532754,-0.09858175570171013,1.4831711870930577,0.032346030474655674
elasticnet,M5_text,Financials,491,0.14764168617484782,0.26664994764954225,-0.06655844004995437,0.6069246435845214,0.2666096036807116,-0.06623572522705445,-0.015132226399068699,-0.0003227148228999166
elasticnet,M0_baseline,Health Care,427,0.1603555515040409,0.32668691622392065,-0.00855323001157271,0.7564402810304449,,,,
elasticnet,M1_macro,Health Care,427,0.172904119888768,0.3274663926701645,-0.01337179677645639,0.7096018735362998,0.32668691622392065,-0.00855323001157271,-0.23860044817636503,-0.0048185667648836805
elasticnet,M2_sector,Health Care,427,0.17745619329389067,0.3361293045218237,-0.06769717998867497,0.7213114754098361,0.3274663926701645,-0.01337179677645639,-2.645435392933535,-0.05432538321221858
elasticnet,M3_company,Health Care,427,0.1774441629604839,0.3379016106939875,-0.07898613931266318,0.6932084309133489,0.3361293045218237,-0.06769717998867497,-0.5272691634801258,-0.011288959323988212
elasticnet,M4_idio_vol,Health Care,427,0.17461033866225836,0.33535991863377224,-0.06281494582788283,0.7072599531615925,0.3379016106939875,-0.07898613931266318,0.752198859009608,0.016171193484780355
elasticnet,M5_text,Health Care,427,0.17435716062209042,0.3351150646561332,-0.06126354119694288,0.711943793911007,0.33535991863377224,-0.06281494582788283,0.07301229635208908,0.0015514046309399454
elasticnet,M0_baseline,Industrials,490,0.15695721703662832,0.27324825307462136,-0.055411136295775876,0.6061224489795919,,,,
elasticnet,M1_macro,Industrials,490,0.16603468140224778,0.27745165508423936,-0.08813185360192355,0.5693877551020409,0.27324825307462136,-0.055411136295775876,-1.5383088317384737,-0.03272071730614767
