model,year,n,mae,rmse,r2,dir_acc
ensemble,2021,209,0.06329529246047669,0.09267903204756477,0.8241568864067415,0.9952153110047847
ensemble,2022,208,0.05643447577864046,0.08051538352784614,0.8664237179493797,0.9951923076923077
ensemble,2023,216,0.04807622865129734,0.06398608604401128,0.9152186060018058,1.0
ensemble,2024,218,0.04497736654199841,0.06324014306257732,0.9236278999577009,0.9862385321100917
ensemble,2025,115,0.038402971221171846,0.056748037504523806,0.9379644750629544,1.0
extra_trees,2014,213,0.1171132488300385,0.15208629535175797,0.5698998256751437,0.9906103286384976
extra_trees,2015,204,0.10522963460374449,0.13251575164690094,0.6599789934583151,1.0
extra_trees,2016,216,0.10981792152412904,0.14341095807331047,0.6381003076194008,0.9953703703703703
extra_trees,2017,229,0.09726265333657913,0.12952576285369244,0.663242134814431,1.0
extra_trees,2018,258,0.1109013985494563,0.15150094783612905,0.5754820674448183,1.0
extra_trees,2019,241,0.10292880271409771,0.14015881523927484,0.6454083324074532,0.995850622406639
extra_trees,2020,213,0.09675026097016685,0.13174946823531294,0.658306468077402,0.971830985915493
extra_trees,2021,209,0.09615300522207151,0.1264826273477723,0.6724903181509456,0.9952153110047847
extra_trees,2022,208,0.09714033007433712,0.1219328834488941,0.6936532288501456,1.0
extra_trees,2023,216,0.09822487913194511,0.12317342321200843,0.6858308879630388,1.0
extra_trees,2024,218,0.10123584243886904,0.12754257869168842,0.6893585303600749,0.9862385321100917
extra_trees,2025,115,0.08876606659258657,0.1128666285047414,0.7546026481774999,1.0
hist_gbm,2014,213,0.06353974484713482,0.11160604164401303,0.7683859681102095,0.9906103286384976
hist_gbm,2015,204,0.05869168809667317,0.0881077733977364,0.8496860829046146,1.0
hist_gbm,2016,216,0.06070174751280314,0.09986824449891656,0.824499494669383,0.9953703703703703
hist_gbm,2017,229,0.0611513193782777,0.09252340017201263,0.8281661981651752,1.0
hist_gbm,2018,258,0.07420695675458368,0.1298360712884775,0.6882143864525543,1.0
hist_gbm,2019,241,0.0654664759943201,0.10785332255312696,0.7900312088917809,0.995850622406639
hist_gbm,2020,213,0.06514678228435045,0.09954378829784877,0.8049403929884087,0.971830985915493
hist_gbm,2021,209,0.06847494402840187,0.1009318628072069,0.791445788733584,0.9952153110047847
hist_gbm,2022,208,0.05988860286508542,0.0848107641914146,0.8517913429319317,0.9951923076923077
hist_gbm,2023,216,0.051388814277474666,0.07065331750212843,0.8966299849909342,1.0
hist_gbm,2024,218,0.047815950015784,0.06860582881665916,0.9101183417933364,0.9862385321100917
hist_gbm,2025,115,0.04132980310444085,0.06392723328922624,0.9212753777661713,1.0
lightgbm,2014,213,0.06101710641005034,0.10844999309354396,0.7813001356050095,0.9906103286384976
lightgbm,2015,204,0.05619653861765416,0.08213533978225994,0.8693736306222584,1.0
lightgbm,2016,216,0.05830482321595965,0.0973366043939214,0.8332845215716115,0.9953703703703703
lightgbm,2017,229,0.056140150437340615,0.08657034350203859,0.8495667938349827,1.0
lightgbm,2018,258,0.07118081595636544,0.1260372599340203,0.7061922504775623,1.0
lightgbm,2019,241,0.06346151096795039,0.10948339804601065,0.7836363860376796,0.995850622406639
lightgbm,2020,213,0.061586190831678385,0.0958279239407203,0.8192313249259389,0.971830985915493
lightgbm,2021,209,0.06519330302516828,0.09863415704737259,0.8008331470488101,0.9952153110047847
lightgbm,2022,208,0.05950717835067347,0.08482331413784566,0.8517474770773339,0.9951923076923077
lightgbm,2023,216,0.050021519414214635,0.06715427187852818,0.9066150800273125,1.0
lightgbm,2024,218,0.04707729416052261,0.06737195882108045,0.9133222968817791,0.9862385321100917
lightgbm,2025,115,0.040151984430132674,0.05874391150609363,0.933524059676637,1.0
random_forest,2014,213,0.10029468614144318,0.1438094599602233,0.6154397714990932,0.9906103286384976
random_forest,2015,204,0.09111254808758255,0.12270667322822505,0.7084539889298704,1.0
random_forest,2016,216,0.09647059352476138,0.13245254966751424,0.6912946293651849,0.9953703703703703
random_forest,2017,229,0.08440921974193219,0.11532833962729647,0.7330207496320611,1.0
random_forest,2018,258,0.10432322191642768,0.14296300015272723,0.6219818541211606,1.0
random_forest,2019,241,0.09377866847792715,0.13237254868659304,0.6837113903472909,0.995850622406639
random_forest,2020,213,0.08283164416707013,0.12120179290495954,0.7108274235384238,0.971830985915493
random_forest,2021,209,0.09190786785951048,0.12201116471703899,0.6952374966492805,0.9952153110047847
random_forest,2022,208,0.09013983648179301,0.11864374847327602,0.7099577014614029,1.0
random_forest,2023,216,0.08494597879990307,0.11290951893673484,0.7360081157521396,1.0
random_forest,2024,218,0.08712159229841081,0.11304301435161564,0.7559737732510977,0.9862385321100917
random_forest,2025,115,0.07458886063819957,0.0969054067015232,0.8191015754831797,1.0
ridge,2014,213,0.0998835376823831,0.14116434753729268,0.6294562377790458,0.9906103286384976
ridge,2015,204,0.10369360501018061,0.14752319096617791,0.5786031008734044,1.0
ridge,2016,216,0.11240764789681183,0.20397560820534305,0.2678838062827913,0.9953703703703703
ridge,2017,229,0.10485021537430071,0.1428613853725383,0.5903290728409669,0.9956331877729258
ridge,2018,258,0.13523609415107413,0.26008200357601646,-0.2510824875357782,1.0
ridge,2019,241,0.09261866266598219,0.1320305990026915,0.6853433766832628,0.995850622406639
ridge,2020,213,0.09064760610537162,0.124733122843747,0.693731305690063,0.9859154929577465
ridge,2021,209,0.10457056507357282,0.1408099334744939,0.5940907268579398,0.9856459330143541
ridge,2022,208,0.12573635589882995,0.15695151589404133,0.4924221656246417,0.9807692307692307
ridge,2023,216,0.09093837901201968,0.11898444844989314,0.7068365220763552,1.0
ridge,2024,218,0.09100130703340967,0.12129819060304085,0.7190314627646675,0.9862385321100917
ridge,2025,115,0.09428918941650075,0.1623283877030113,0.4923928654349963,1.0
xgboost,2014,213,0.050007752361484484,0.0922645923005502,0.8417077725563646,0.9906103286384976
xgboost,2015,204,0.051271025178557694,0.07823700012200928,0.8814790511845068,1.0
xgboost,2016,216,0.05219162332089133,0.08901689040527405,0.8605660990124715,0.9953703703703703
xgboost,2017,229,0.053501763300173366,0.08329525517365731,0.8607337260922985,1.0
xgboost,2018,258,0.06767631333651437,0.12345147099074981,0.7181241434364288,1.0
xgboost,2019,241,0.05949598086095758,0.10840297062423444,0.7878856464741844,0.995850622406639
xgboost,2020,213,0.060124181292550594,0.09089228666840887,0.837372841073662,0.971830985915493
xgboost,2021,209,0.06418046635629295,0.09628197352758384,0.8102191647852846,0.9952153110047847
xgboost,2022,208,0.0602291579081953,0.0860128613081601,0.8475601862320186,0.9903846153846154
xgboost,2023,216,0.05042569016888455,0.06640836068917547,0.9086780910779126,1.0
xgboost,2024,218,0.04642305481743718,0.06482556143840089,0.9197506323593796,0.9862385321100917
xgboost,2025,115,0.03833728781049464,0.058564638802102165,0.9339291786694115,1.0
