model,year,n,mae,rmse,r2,dir_acc
ensemble,2014,320,0.08183102679072493,0.15448116532765072,-0.07154652969972441,0.7625
ensemble,2015,309,0.11082075189942886,0.20803313413725455,0.20685030089213974,0.7443365695792881
ensemble,2016,311,0.11008462004646163,0.264590032207644,0.11916672326246858,0.7331189710610932
ensemble,2017,323,0.10247167455652453,0.1699512088429402,0.11564014183905502,0.826625386996904
ensemble,2018,355,0.12025193783006805,0.2365420200718354,-0.18464484966089345,0.7746478873239436
ensemble,2019,377,0.118295036146677,0.22026082511824804,0.2412061659022916,0.7161803713527851
ensemble,2020,366,0.14986693449420718,0.22086636387941,0.10204866093591014,0.6912568306010929
ensemble,2021,366,0.16288178377049703,0.2907817069537417,-0.1310621459293071,0.8633879781420765
ensemble,2022,363,0.1310426461594659,0.25720048141777613,-0.006679593155718422,0.7823691460055097
ensemble,2023,363,0.1276482981290376,0.3368296341971804,0.06365333728239675,0.7410468319559229
ensemble,2024,383,0.0749119683753117,0.1466324352172983,0.002371105909366511,0.7702349869451697
ensemble,2025,203,0.08169066937939937,0.15373631878513647,-0.27226381278616985,0.7881773399014779
extra_trees,2014,320,0.08039448521192047,0.14179687274326302,0.09719643367641984,0.73125
extra_trees,2015,309,0.11632534392065885,0.22498771544403298,0.07229958373758183,0.6634304207119741
extra_trees,2016,311,0.11734931169575842,0.2777161803776382,0.029603722276771105,0.7491961414790996
extra_trees,2017,323,0.11225720435876177,0.17725472768382336,0.03799758987019508,0.8328173374613003
extra_trees,2018,355,0.11535667618098418,0.21100305542364473,0.05735307281856927,0.7436619718309859
extra_trees,2019,377,0.12724598526497513,0.24463742529407767,0.06395858545991184,0.6339522546419099
extra_trees,2020,366,0.15161552742561712,0.22351870315709332,0.0803525360112114,0.6830601092896175
extra_trees,2021,366,0.1558406210605701,0.28545930436502837,-0.09003567222949393,0.8688524590163934
extra_trees,2022,363,0.127881628418209,0.24808434034951876,0.06341669164661157,0.7658402203856749
extra_trees,2023,363,0.13331977350244384,0.3419653065962475,0.034882533904774915,0.696969696969697
extra_trees,2024,383,0.07272544018667701,0.13669623271972794,0.1329941733353629,0.7571801566579635
extra_trees,2025,203,0.07226958815124702,0.13329604573324352,0.04355775198646328,0.7980295566502463
hist_gbm,2014,320,0.087190384427966,0.15926040794660828,-0.13887381574822677,0.74375
hist_gbm,2015,309,0.11162053604983704,0.21651312817881505,0.14087054436584234,0.7249190938511327
hist_gbm,2016,311,0.1103631393210178,0.2700713392723207,0.08229361952783731,0.7556270096463023
hist_gbm,2017,323,0.1025123887382397,0.17130242013848013,0.10152188589107547,0.8513931888544891
hist_gbm,2018,355,0.11975708100790591,0.23064885532518647,-0.12635210526595309,0.7830985915492957
hist_gbm,2019,377,0.12123689194368609,0.23043918300684835,0.1694573806137336,0.6816976127320955
hist_gbm,2020,366,0.15127831054654486,0.22314495297222176,0.08342548727254351,0.6775956284153005
hist_gbm,2021,366,0.15498796202629572,0.27541530169620543,-0.014678446514587051,0.855191256830601
hist_gbm,2022,363,0.1316057851512423,0.25729604204031953,-0.0074277783771055095,0.7548209366391184
hist_gbm,2023,363,0.1279632674813935,0.3457767788256538,0.013248652695823093,0.7382920110192838
hist_gbm,2024,383,0.07872706537676338,0.15157872282253917,-0.0660692373237175,0.7885117493472585
hist_gbm,2025,203,0.08720589523037131,0.16976997360082446,-0.5514792856118649,0.7635467980295566
lightgbm,2014,320,0.08697500798017929,0.1637977170918944,-0.20469095459988096,0.78125
lightgbm,2015,309,0.11036331356103546,0.21148575706934056,0.1803048068353582,0.7443365695792881
lightgbm,2016,311,0.11231646968386304,0.26369010243987995,0.12514835473209351,0.7106109324758842
lightgbm,2017,323,0.10576714822187824,0.17374754916616278,0.07568951426109327,0.826625386996904
lightgbm,2018,355,0.12626816420062464,0.24428467259469247,-0.26346729541938285,0.7746478873239436
lightgbm,2019,377,0.118811086398098,0.22102433837181548,0.23593647458811695,0.726790450928382
lightgbm,2020,366,0.15432549094503187,0.22208836066038795,0.09208490594637897,0.7103825136612022
lightgbm,2021,366,0.16361657997612042,0.2934668871281632,-0.15204784362778545,0.8524590163934426
lightgbm,2022,363,0.13186099675650306,0.2582018190642948,-0.01453329857700214,0.7741046831955923
lightgbm,2023,363,0.12977192165315404,0.3412442483117757,0.03894828120312255,0.7355371900826446
lightgbm,2024,383,0.0839856348727124,0.1584170090566629,-0.16442774124157555,0.7571801566579635
lightgbm,2025,203,0.08839082583329998,0.1681136858270877,-0.5213542752857883,0.7733990147783252
random_forest,2014,320,0.07683959716886794,0.1370015617248386,0.15722625785902122,0.740625
random_forest,2015,309,0.11070401443168121,0.21878279846952098,0.12276391900213923,0.7152103559870551
random_forest,2016,311,0.1071430862423336,0.2665591959163889,0.10600704919702963,0.7491961414790996
random_forest,2017,323,0.1009225255758029,0.1687021605428664,0.12859149478835685,0.8235294117647058
random_forest,2018,355,0.11473664797256392,0.21362851694807808,0.033748860744520104,0.752112676056338
random_forest,2019,377,0.12215636138048888,0.23545519963493947,0.13290667956435553,0.6923076923076923
random_forest,2020,366,0.147160301906771,0.21843886766558424,0.1216785830255882,0.6830601092896175
random_forest,2021,366,0.1504310462904505,0.27260321392939446,0.005936224467123941,0.8524590163934426
random_forest,2022,363,0.12241834737783017,0.24451784057844447,0.09015206426706257,0.7823691460055097
random_forest,2023,363,0.1289803794764427,0.3414936749852088,0.037542838965890946,0.7382920110192838
random_forest,2024,383,0.06558923425478702,0.1268829176281946,0.25300922651158175,0.7728459530026109
random_forest,2025,203,0.06865857061373903,0.1283424598717279,0.11332403322022855,0.812807881773399
ridge,2014,320,0.09455857550151223,0.16307936933035946,-0.19414759106042156,0.709375
ridge,2015,309,0.10767304299595397,0.2172273191121104,0.13519334173607966,0.7411003236245954
ridge,2016,311,0.12101058039996572,0.2677189534350213,0.09821087804588047,0.7170418006430869
