model,ticker,n,mae,rmse,r2,dir_acc
baseline:sector_median,CL,6,0.04990239719265819,0.0513977967430461,-2.871207688387965,1.0
baseline:sector_median,CMCSA,32,0.024683740764005042,0.035922730985399935,-0.61603090974458,1.0
baseline:sector_median,COST,23,0.03597721654917836,0.08495049299158051,-1592.5297764391155,1.0
baseline:sector_median,CRM,45,0.08349492880724528,0.10761668691246629,-2.1336135530141767,1.0
baseline:sector_median,DIS,19,0.06067540976310278,0.06812016581349144,-8.983248658585673,1.0
baseline:sector_median,DLR,44,0.09988605608033795,0.11537209398149918,-3.1818325639194995,1.0
baseline:sector_median,EOG,44,0.261043182572103,0.3431082312693188,-0.712446400877556,0.8409090909090909
baseline:sector_median,EQIX,44,0.1795349568487343,0.1839051816731851,-117.0330421395786,1.0
baseline:sector_median,F,6,0.11373992535856296,0.11453030728416987,-106.18460283965193,1.0
baseline:sector_median,GM,42,0.03516211171036839,0.04355125904966628,-1.5386881448010623,1.0
baseline:sector_median,HAL,6,0.12189484657249339,0.12543853248489292,-35.398759890843,1.0
baseline:sector_median,HD,45,0.019113860944336883,0.02389890291013826,-11.485486951956492,1.0
baseline:sector_median,HON,6,0.08783201615432679,0.09083306559747607,-653.557573577337,1.0
baseline:sector_median,INTC,5,0.07986719590807131,0.08668175696499464,-78.05461715642693,1.0
baseline:sector_median,KO,5,0.04062713406345062,0.048582576032918226,-1.1179192545051708,1.0
baseline:sector_median,LIN,34,0.08617934762095157,0.1031590671921076,-3.6913418851984074,1.0
baseline:sector_median,LOW,38,0.030886348251753855,0.034469696137038396,-1.5787231227199738,1.0
baseline:sector_median,MA,40,0.10009783208515488,0.11932796314540113,-0.6259735619081657,1.0
baseline:sector_median,MCD,44,0.27326771754932555,0.2786838575993813,-34.8265733200789,1.0
baseline:sector_median,NFLX,44,0.13319391428043936,0.1577319606790568,-2.6738416513027796,1.0
baseline:sector_median,NVDA,21,0.10934649722977381,0.12260064797310716,-2.34972856214698,1.0
baseline:sector_median,PEP,6,0.11388885039510928,0.12063280877604393,-123.22930469616252,1.0
baseline:sector_median,PLD,31,0.23394897070555162,0.24322124107575793,-9.271905541256428,1.0
baseline:sector_median,PSA,14,0.12256864710838929,0.12425983339671698,-392.63338653984965,1.0
baseline:sector_median,RTX,6,0.029796727255714472,0.03152856689965011,-10.998185875761596,1.0
baseline:sector_median,SBUX,31,0.044485437188914484,0.053443255987259256,-1.1456677403577427,1.0
baseline:sector_median,SCCO,35,0.11711091648035976,0.13498695145459633,-6.726184404800589,1.0
baseline:sector_median,SPG,44,0.1349457073251575,0.14229124773780077,-226.78156545195577,1.0
baseline:sector_median,T,44,0.06326754525624548,0.07887767799206448,-0.5055666035053057,1.0
baseline:sector_median,TMUS,44,0.05497175714713965,0.07389804300598184,-1.2516695879250435,1.0
baseline:sector_median,TSLA,14,0.22256794529141594,0.22931151931885083,-33.81748871826176,0.0
baseline:sector_median,TTWO,44,0.36530385932943865,0.4537792442535297,-1.4876714515855394,0.6363636363636364
baseline:sector_median,UNH,44,0.01514072852449106,0.04048712445526542,-12.341346381551443,1.0
baseline:sector_median,UPS,44,0.028902863657984914,0.03299725057194724,-2.7499208620398212,1.0
baseline:sector_median,V,44,0.08842149194232334,0.10435095848635348,-7.430553550431684,1.0
baseline:sector_median,VLO,34,0.25144267483358806,0.2664720634110588,-71.76737416458089,0.9411764705882353
baseline:sector_median,VZ,44,0.05965968376388898,0.06606192885485623,-6.676159359200206,1.0
baseline:sector_median,WBD,44,0.12357688760716505,0.15657431296853105,-0.016928190265253606,0.8863636363636364
baseline:sector_median,WMB,44,0.14750284729187552,0.19629600280856516,-3.72660341133376,0.9318181818181818
baseline:sector_median,WMT,6,0.2033773497926693,0.20674271790718937,-143177.34787199766,1.0
catboost,AMGN,6,0.09489370550419673,0.10754781246133986,-90.59767635412274,1.0
catboost,AMT,15,0.036605044040136175,0.060188458313942095,-0.8515329483568796,1.0
catboost,AMZN,44,0.0289608584369084,0.03434301828847288,0.21879900061541702,1.0
catboost,BA,6,0.10607645609401228,0.1270901573482598,-1.2398482717049584,0.5
catboost,BKNG,44,0.07905406299814385,0.11245326769220385,-0.2290722283884561,0.9545454545454546
catboost,BKR,17,0.08958357282695027,0.21364536194760417,-0.18779100771043633,0.9411764705882353
catboost,CAT,44,0.030924545126399215,0.037106089463448566,0.00443902694494025,1.0
catboost,CCI,12,0.07654802192056386,0.13014726751698058,-0.15585029700071695,1.0
catboost,CHTR,44,0.04848224158974295,0.06964545901012772,-6.414713300438459,1.0
catboost,CL,6,0.051733501901478164,0.06624490038007372,-5.430760997385467,1.0
catboost,CMCSA,32,0.021434312721895832,0.03052466488585214,-0.1668439553336063,1.0
catboost,COST,23,0.029221317277069895,0.03157930019984396,-219.20814550598075,1.0
catboost,CRM,45,0.037421131007237776,0.051649771575983806,0.27818980510378866,1.0
catboost,DIS,19,0.04725536341079453,0.0584812735916122,-6.357904380454055,1.0
catboost,DLR,44,0.0488880042384515,0.05754651154072428,-0.040406588698266965,1.0
catboost,EOG,44,0.1923721529198513,0.29230277238787555,-0.2428553382435632,0.8863636363636364
catboost,EQIX,44,0.03726469564502367,0.04462512813868014,-5.949837033700303,1.0
catboost,F,6,0.10251614208547648,0.10399904427224418,-87.37923696522687,1.0
catboost,GM,42,0.029688713842001873,0.039080851964198575,-1.0442592469629326,1.0
catboost,HAL,6,0.031099559354884967,0.04481710734397444,-3.6463540822244758,1.0
catboost,HD,45,0.016353721333680044,0.01927676760334288,-7.123028529442784,1.0
catboost,HON,6,0.04959993071018302,0.059480664879007036,-279.68004505631023,1.0
