model,year,n,mae,rmse,r2,dir_acc
catboost,2025,87,0.04323451164840722,0.06631448765376743,0.9037712728949329,0.9885057471264368
elasticnet,2014,61,0.07290822416485171,0.11227609626099895,0.7646269978447392,0.9180327868852459
elasticnet,2015,123,0.07820132818898506,0.1547273305854978,0.608602057640464,0.9349593495934959
elasticnet,2016,124,0.06582543001333768,0.09814360024821515,0.7806995138888552,0.9596774193548387
elasticnet,2017,139,0.07028407109079413,0.09574428082088376,0.8172314763698709,0.9712230215827338
elasticnet,2018,133,0.05899314420445786,0.08408972484165093,0.8371659706277723,1.0
elasticnet,2019,128,0.05180266579681167,0.06951695521374616,0.8766008564627198,0.9921875
elasticnet,2020,124,0.07834500198662168,0.13081864779027957,0.6596927271542874,0.9193548387096774
elasticnet,2021,122,0.07370153744047406,0.09880656347050462,0.7227348052849916,1.0
elasticnet,2022,119,0.07365287230743857,0.10753976927676338,0.7550910451615513,0.957983193277311
elasticnet,2023,123,0.0717209138240966,0.12700687527864615,0.7421744048414187,0.967479674796748
elasticnet,2024,163,0.0725630221888524,0.13072871725113852,0.7183415152528434,0.9570552147239264
elasticnet,2025,87,0.05446845019824043,0.0925767925974552,0.8124607545827822,0.9540229885057471
ensemble,2014,61,0.0509949578216656,0.10427559801502384,0.7969759828517455,0.9180327868852459
ensemble,2015,123,0.0699828046650901,0.1602216111309495,0.5803118941747167,0.9349593495934959
ensemble,2016,124,0.04535365364476913,0.07340057528031649,0.8773367263267811,0.9758064516129032
ensemble,2017,139,0.0631665528245625,0.09414882161180793,0.8232719447621207,0.9856115107913669
ensemble,2018,133,0.04384088760143304,0.06922780314355866,0.8896377853142341,1.0
ensemble,2019,128,0.04975193873392429,0.07480859862771622,0.8570995159832817,0.9921875
ensemble,2020,124,0.07362642038823687,0.12406695023929992,0.6939135301073572,0.9596774193548387
ensemble,2021,122,0.047549340211354145,0.0673715862740034,0.871092759249841,1.0
ensemble,2022,119,0.06485691545046396,0.10743806589438253,0.7555540606788685,0.957983193277311
ensemble,2023,123,0.0705346962496857,0.14165675165751634,0.6792651704719381,0.9512195121951219
ensemble,2024,163,0.05714342004095659,0.12279229632503916,0.7515018949754706,0.9570552147239264
ensemble,2025,87,0.04047449139060316,0.06762300594876887,0.8999362331376177,0.9885057471264368
extra_trees,2014,61,0.08312501323481776,0.12419327784702378,0.712009463026477,0.9180327868852459
extra_trees,2015,123,0.0885709216839012,0.1576718500869934,0.5935634096691705,0.9349593495934959
extra_trees,2016,124,0.06830735832978917,0.08440786194128493,0.837788581168145,0.967741935483871
extra_trees,2017,139,0.08176325479851246,0.10682688212667887,0.7724709636823065,0.9712230215827338
extra_trees,2018,133,0.07111399007283577,0.09663232408566287,0.7849674740287,1.0
extra_trees,2019,128,0.06484079390017142,0.08764857143092707,0.8038355318075776,1.0
extra_trees,2020,124,0.08944134925909793,0.13988452389837833,0.6108910167723189,0.9596774193548387
extra_trees,2021,122,0.07437548564404192,0.09663205227148872,0.7348044863177192,1.0
extra_trees,2022,119,0.09699195963491032,0.1281512129264865,0.6522141516422997,0.957983193277311
extra_trees,2023,123,0.09713389673319349,0.15975344571291436,0.5920827842039206,0.9512195121951219
extra_trees,2024,163,0.0955712044814169,0.1581157646859808,0.5879677740414399,0.9386503067484663
extra_trees,2025,87,0.07261180727191412,0.10557043776606014,0.7561220427208316,0.9885057471264368
hist_gbm,2014,61,0.054037870922188015,0.10386856638969852,0.7985578661176521,0.9344262295081968
hist_gbm,2015,123,0.07399026611553075,0.1630532342696944,0.5653463732875272,0.943089430894309
hist_gbm,2016,124,0.04971523082618024,0.07300838929671415,0.8786440266277585,0.9596774193548387
hist_gbm,2017,139,0.06612021701263737,0.0979030114757429,0.8088968601172526,0.9784172661870504
hist_gbm,2018,133,0.0494314761232874,0.07904719914409547,0.8561094476861222,1.0
hist_gbm,2019,128,0.05195936946415988,0.07932605509336357,0.8393197955331326,0.9921875
hist_gbm,2020,124,0.07312734988226129,0.12458190470684645,0.6913673611843615,0.9516129032258065
hist_gbm,2021,122,0.05117462922890773,0.07264028646919281,0.8501423689734876,1.0
hist_gbm,2022,119,0.0689828699246079,0.11589458424260411,0.7155586390806894,0.957983193277311
hist_gbm,2023,123,0.07331996260484167,0.14559381821644002,0.6611890502049944,0.943089430894309
hist_gbm,2024,163,0.059463856046045,0.12880224042891458,0.7265816401915641,0.9447852760736196
hist_gbm,2025,87,0.04193908170093152,0.07441870869391293,0.8788140801480347,1.0
lightgbm,2014,61,0.055870402310041825,0.10724796041944948,0.7852366736446532,0.9180327868852459
lightgbm,2015,123,0.0735129107225638,0.16761608231655847,0.5406794844857499,0.9186991869918699
lightgbm,2016,124,0.048626739462767,0.07309916252505183,0.8783420689555465,0.9838709677419355
lightgbm,2017,139,0.06635850327261983,0.09791048481929603,0.8088676836107012,0.9856115107913669
lightgbm,2018,133,0.043960566765960135,0.06959057429706542,0.8884781030458461,1.0
lightgbm,2019,128,0.053074332714922255,0.07974899001254895,0.8376018623836217,0.9765625
lightgbm,2020,124,0.07657194882980745,0.12704823790786263,0.6790264754178879,0.9516129032258065
lightgbm,2021,122,0.052005625533067014,0.07193687025403234,0.8530306258866073,0.9918032786885246
lightgbm,2022,119,0.06845808754811666,0.1081756828117786,0.7521860474910831,0.957983193277311
lightgbm,2023,123,0.07434181184067444,0.14907882975785441,0.644775005467778,0.943089430894309
lightgbm,2024,163,0.06153798834793956,0.12389782246696161,0.7470071856629568,0.9570552147239264
lightgbm,2025,87,0.04535944097501287,0.07302930122791282,0.8832969532714432,0.9655172413793104
random_forest,2014,61,0.06841113863100708,0.11152112205568895,0.7677817760813918,0.9180327868852459
random_forest,2015,123,0.07461979439518841,0.15026667151921744,0.6308441070819388,0.9349593495934959
random_forest,2016,124,0.0516229798362346,0.07472636498714724,0.8728655240411551,0.967741935483871
random_forest,2017,139,0.06773803437902247,0.09711023650194071,0.8119792656010104,0.9712230215827338
random_forest,2018,133,0.06063849374523578,0.08851868721979857,0.8195614884413579,1.0
random_forest,2019,128,0.05563280301788527,0.08390013781965158,0.8202553346985078,1.0
random_forest,2020,124,0.08020077690033539,0.13218475737900878,0.6525481121659775,0.9596774193548387
random_forest,2021,122,0.05917906192504682,0.08205996701173336,0.8087566059898359,1.0
random_forest,2022,119,0.07747151497550851,0.11434877680994887,0.7230958205506604,0.957983193277311
random_forest,2023,123,0.0744286791687724,0.14566421004965968,0.6608613537470256,0.9512195121951219
random_forest,2024,163,0.07526282910643023,0.1443727198969041,0.6564807208042561,0.9386503067484663
random_forest,2025,87,0.051866596307800834,0.08981927339004418,0.8234665622003449,0.9885057471264368
ridge,2014,61,0.10323207785432739,0.16005316225858787,0.5216887929818006,0.9180327868852459
ridge,2015,123,0.07130221881572589,0.14492445824515365,0.6566256555194964,0.9349593495934959
ridge,2016,124,0.09436053757867444,0.1273272566284893,0.6308878104961118,0.967741935483871
ridge,2017,139,0.09097176529346737,0.1176392416526844,0.7240819236753345,0.9712230215827338
ridge,2018,133,0.07031070368344945,0.09552813603531071,0.7898536193543126,0.9924812030075187
ridge,2019,128,0.06516645150900924,0.08473796415769547,0.8166475519662704,0.96875
ridge,2020,124,0.09102124567416871,0.14451553761846672,0.5847008856417315,0.9274193548387096
ridge,2021,122,0.09605420487347407,0.12221556281870767,0.5757940158931176,0.9754098360655737
ridge,2022,119,0.098829425448297,0.11993764184365178,0.6953666295127681,0.9243697478991597
ridge,2023,123,0.08619781942362381,0.14851151828311057,0.6474734405568854,0.9512195121951219
ridge,2024,163,0.07968682062944112,0.14091490389397057,0.672738665827074,0.9570552147239264
ridge,2025,87,0.060860751802893985,0.10107612384874205,0.7764446530940119,0.9540229885057471
xgboost,2014,61,0.054107353773198696,0.10398157070881316,0.7981193077552284,0.9180327868852459
xgboost,2015,123,0.07045344651111253,0.1602496411848341,0.5801650362177027,0.9349593495934959
xgboost,2016,124,0.048397917517192635,0.0816994157736307,0.8480315179536906,0.9596774193548387
xgboost,2017,139,0.06527357612657891,0.09841900293164355,0.8068771584079041,0.9928057553956835
xgboost,2018,133,0.04264165703027711,0.06839429278530038,0.8922793331270626,1.0
xgboost,2019,128,0.05069676435747539,0.07655219944515995,0.8503605830517348,0.9921875
xgboost,2020,124,0.08240746122154208,0.13280254578456158,0.6492927692935238,0.9516129032258065
xgboost,2021,122,0.05131681780699626,0.06904298484660873,0.8646173897495649,0.9918032786885246
xgboost,2022,119,0.06658225939984448,0.11196437720116766,0.7345234277318715,0.957983193277311
xgboost,2023,123,0.07556177015524483,0.1459545796242208,0.6595079163332749,0.9512195121951219
xgboost,2024,163,0.05834854895286446,0.12841404533181966,0.7282272593985524,0.9631901840490797
xgboost,2025,87,0.04049550995686961,0.06882612125337174,0.896343988399533,0.9885057471264368
