model,ticker,n,mae,rmse,r2,dir_acc
baseline:expanding_mean,KO,13,0.0732045891364869,0.09176116966838191,-1.5277518176260783,0.7692307692307693
baseline:expanding_mean,LIN,30,0.18844268244956144,0.3354397125282404,-0.10536888748729778,0.8
baseline:expanding_mean,LLY,46,0.11128690196423015,0.15272988505130664,-0.024705229015063557,0.782608695652174
baseline:expanding_mean,LMT,46,0.05450457793469936,0.07052279770128166,-0.5271760758842288,0.8043478260869565
baseline:expanding_mean,LOW,47,0.07228852262733507,0.08896810841464373,-0.32886124754500456,0.8085106382978723
baseline:expanding_mean,MA,38,0.12152535307793838,0.17889671873764282,-0.5082929365683475,0.9736842105263158
baseline:expanding_mean,MCD,46,0.10347532129250533,0.11586985620559703,-1.157702619172937,0.41304347826086957
baseline:expanding_mean,MDLZ,46,0.08418997910984949,0.10876594335428912,-0.8519864055499855,0.6304347826086957
baseline:expanding_mean,META,46,0.24271315495441864,0.2799066445285531,-2.0812717226690767,0.9565217391304348
baseline:expanding_mean,MO,46,0.08504996631699475,0.08805734510167738,-13.2207138802182,0.391304347826087
baseline:expanding_mean,MRK,26,0.1067416495049683,0.13868977495539392,-0.06558346168193818,0.8076923076923077
baseline:expanding_mean,MS,46,0.09252746755663246,0.10970482626383009,-0.022732585791476856,0.717391304347826
baseline:expanding_mean,MSFT,46,0.07235626022978199,0.08257695194273351,-0.33161869118352816,0.8913043478260869
baseline:expanding_mean,NEM,30,0.16768680026102628,0.2110909566461105,-0.21219017608549406,0.7
baseline:expanding_mean,NFLX,46,0.14237066346686722,0.1649820046933554,-2.220141189469269,1.0
baseline:expanding_mean,NKE,46,0.062049296672809895,0.08503961674647703,-0.22246808615967528,0.7608695652173914
baseline:expanding_mean,NVDA,47,0.42193107039279604,0.61202885716577,-0.6005110671842246,0.8936170212765957
baseline:expanding_mean,O,30,0.15253214320371464,0.23114833365507995,-0.8222442247910051,1.0
baseline:expanding_mean,ORCL,38,0.14975997895779355,0.2617348658000831,-0.011095206619804898,0.8421052631578947
baseline:expanding_mean,OXY,46,0.24227343582026042,0.2831469884985235,-0.051208040218397644,0.43478260869565216
baseline:expanding_mean,PEP,46,0.06308773612496228,0.07222388336557904,-1.3582210031387651,0.782608695652174
baseline:expanding_mean,PFE,9,0.15645022165498826,0.1758925459005276,-0.049282895019008954,0.5555555555555556
baseline:expanding_mean,PG,46,0.07538110939485977,0.0951658543210278,-2.19954710339083,0.717391304347826
baseline:expanding_mean,PLD,30,0.1256788060309943,0.17094476449838336,-0.5395202702845501,1.0
baseline:expanding_mean,PSA,46,0.04721506295816434,0.06363071218289612,-0.06391833474079145,1.0
baseline:expanding_mean,RTX,46,0.09623486885047253,0.13257881003699426,-0.15673997021782182,0.7391304347826086
baseline:expanding_mean,SBUX,24,0.06785687755229164,0.08994773594830702,-0.07482805669206027,0.8333333333333334
baseline:expanding_mean,SCCO,33,0.10728641472494758,0.1331280348702448,-0.03788672210213462,0.696969696969697
baseline:expanding_mean,SHW,46,0.06628080759330619,0.08999981604927988,-0.10311740158746985,1.0
baseline:expanding_mean,SLB,46,0.14397960411461802,0.189980754267682,-0.3041070547049056,0.5652173913043478
baseline:expanding_mean,SPG,46,0.060978458675614994,0.08759420848400201,-0.5337351400995118,0.8478260869565217
baseline:expanding_mean,T,46,0.09784399709898459,0.12690681018821517,-0.5719645314583495,0.6739130434782609
baseline:expanding_mean,TMO,18,0.06535748376636759,0.08275312428543385,0.022649580762793553,1.0
baseline:expanding_mean,TMUS,46,0.0894318879636287,0.15395470573405498,-0.06871532316299511,0.8695652173913043
baseline:expanding_mean,TSLA,46,0.3655776871072413,0.4573218852732942,-1.1878331294991087,0.9347826086956522
baseline:expanding_mean,TTWO,46,0.19330705131095072,0.270023134673019,-0.05483165391274847,0.8043478260869565
baseline:expanding_mean,UNH,46,0.042233000550942014,0.057443836781094514,-0.5495491168866808,1.0
baseline:expanding_mean,UNP,46,0.09557294382808355,0.11263485646839266,-0.8017507963676973,0.5869565217391305
baseline:expanding_mean,UPS,46,0.06637266350068483,0.08152814263716576,-0.4615882797756752,0.8043478260869565
baseline:expanding_mean,USB,46,0.06173993387795209,0.06618857460380996,-1.1651653911792281,0.8260869565217391
baseline:expanding_mean,V,46,0.06147991215737219,0.0823482786019292,-0.2705735250728307,0.9130434782608695
baseline:expanding_mean,VLO,30,0.29600064332571674,0.37858458775725623,-0.021651437141431362,0.36666666666666664
baseline:expanding_mean,VZ,46,0.07115689816004382,0.07597502989919899,-6.3990795232716335,0.717391304347826
baseline:expanding_mean,WBD,46,0.2557093048258782,0.5055164588245539,-0.11108085942404022,0.717391304347826
baseline:expanding_mean,WFC,46,0.08163904726994109,0.09363916066143199,-2.7339720894784936,0.5434782608695652
baseline:expanding_mean,WMB,46,0.16011301645670867,0.2439027870081397,-0.03082972466729128,0.6521739130434783
baseline:expanding_mean,WMT,47,0.04816541884133253,0.05350066992285029,-4.730677333215454,0.9361702127659575
baseline:expanding_mean,XOM,30,0.22455995462619144,0.2781106499837777,-0.031121326657177706,0.4666666666666667
baseline:persistence,AAPL,30,0.13417970222218206,0.1640205397963657,-1.3102250092898973,0.8333333333333334
baseline:persistence,ABBV,46,0.1190596139001956,0.16069385090674093,-0.8428024174779849,0.8260869565217391
baseline:persistence,ABT,46,0.11689126371656716,0.144896229873342,-0.9153572741587768,0.7391304347826086
baseline:persistence,ADBE,39,0.054783815759619804,0.07398488548069505,-0.4388356371261224,0.8974358974358975
