model,year,n,mae,rmse,r2,dir_acc
baseline:expanding_mean,2021,388,0.2137067164947982,0.37700709685833866,-0.17550936716886256,0.8376288659793815
baseline:expanding_mean,2022,388,0.16277390528303348,0.3054747874507134,-0.04102912002000325,0.788659793814433
baseline:expanding_mean,2023,386,0.15042442575971132,0.27429232274043663,-0.025453341349803704,0.655440414507772
baseline:expanding_mean,2024,389,0.12733731205044957,0.27444538962071086,-0.006484850657928032,0.6555269922879178
baseline:expanding_mean,2025,395,0.08726196220308888,0.13051672067656384,-0.03258165459102558,0.739240506329114
baseline:expanding_mean,2026,96,0.0738550265108437,0.1193724517852443,-0.017235537619333607,0.875
baseline:persistence,2014,338,0.06977531217046411,0.1676457881593737,0.1649442944548597,0.8402366863905325
baseline:persistence,2015,331,0.07889296501298339,0.23021174347790022,-0.06641481931200022,0.8459214501510574
baseline:persistence,2016,325,0.0641945012130088,0.13740968692319658,0.5106074039108699,0.8430769230769231
baseline:persistence,2017,337,0.07687442815329296,0.15270699019798925,0.2841929345223274,0.8516320474777448
baseline:persistence,2018,373,0.11439490885023268,0.284253783571832,-0.059719947896827774,0.8525469168900804
baseline:persistence,2019,393,0.09376774430265551,0.21720788793764204,-0.04367124861372651,0.8015267175572519
baseline:persistence,2020,390,0.13431280863809433,0.21616793540228513,0.27652227356791725,0.7615384615384615
baseline:persistence,2021,388,0.19644046050181102,0.3890046503331409,-0.25151664299382737,0.8015463917525774
baseline:persistence,2022,388,0.11301585218680331,0.2168714721274261,0.47529284026781726,0.845360824742268
baseline:persistence,2023,386,0.11127184265476019,0.2512346847110284,0.13970421830620827,0.8290155440414507
baseline:persistence,2024,389,0.08309287753103176,0.19894202508765507,0.4711306091877763,0.7532133676092545
baseline:persistence,2025,395,0.06410819781007135,0.16396698156217343,-0.6296896299564061,0.779746835443038
baseline:persistence,2026,96,0.06325649264403357,0.12532203713047443,-0.12116153069101432,0.8229166666666666
baseline:seasonal,2014,338,0.11922831607766755,0.21974419131195222,-0.43471276213711496,0.6834319526627219
baseline:seasonal,2015,331,0.15631854361676675,0.29504600531143477,-0.7516635855410245,0.6404833836858006
baseline:seasonal,2016,325,0.12304643437321387,0.2245078580433253,-0.30642892508174246,0.7261538461538461
baseline:seasonal,2017,337,0.14328226519210757,0.2394207313259441,-0.7595501606085013,0.6498516320474778
baseline:seasonal,2018,373,0.15538880162233107,0.3031359022479608,-0.20518398633856516,0.7640750670241286
baseline:seasonal,2019,393,0.20260413982658132,0.3615179484539602,-1.8911608994524256,0.5903307888040712
baseline:seasonal,2020,390,0.2015820133020762,0.32250514673042713,-0.6103338247137431,0.6205128205128205
baseline:seasonal,2021,388,0.32996233224829963,0.5481521388447437,-1.4850164570174513,0.5257731958762887
baseline:seasonal,2022,388,0.2437721754721465,0.4033916242567636,-0.8153730693014873,0.7139175257731959
baseline:seasonal,2023,386,0.24888884866160618,0.43695814738300853,-1.602365442275465,0.6062176165803109
baseline:seasonal,2024,389,0.1820845687981071,0.3893471104500441,-1.0256727002369876,0.6066838046272494
baseline:seasonal,2025,395,0.11863423534877916,0.249222610185266,-2.7650173223913446,0.6531645569620254
baseline:seasonal,2026,96,0.08530529815960351,0.11500959764866979,0.055762021263781714,0.6354166666666666
baseline:sector_median,2014,338,0.0984997659140018,0.18229419767065846,0.012639282041113198,0.7337278106508875
baseline:sector_median,2015,331,0.10218752808570891,0.19316822440567288,0.24916830146599744,0.7643504531722054
baseline:sector_median,2016,325,0.10604470553524419,0.1762585000883634,0.19476464555802775,0.7353846153846154
baseline:sector_median,2017,337,0.10072773949089615,0.17709005494543872,0.03735426431912092,0.8545994065281899
baseline:sector_median,2018,373,0.13846316239079495,0.26742881202674895,0.062016947740886286,0.8337801608579088
baseline:sector_median,2019,393,0.1128907423687821,0.2130221046736306,-0.00383394326226294,0.7404580152671756
baseline:sector_median,2020,390,0.16658055794301138,0.2457449937690037,0.06499921741948078,0.6743589743589744
baseline:sector_median,2021,388,0.2126905388208048,0.3688469516686836,-0.12517335793689432,0.8118556701030928
baseline:sector_median,2022,388,0.15617055849511077,0.2899428856243264,0.06214208267870225,0.7783505154639175
baseline:sector_median,2023,386,0.13583204771082466,0.263901708520669,0.050766615390292036,0.7176165803108808
baseline:sector_median,2024,389,0.11112863578836459,0.27026082197302564,0.02397363338994951,0.6401028277634961
baseline:sector_median,2025,395,0.07536783248151954,0.12497823814820677,0.053194233599563656,0.7493670886075949
baseline:sector_median,2026,96,0.07299330219270533,0.11630744984519463,0.03433083686507665,0.875
baseline:trailing_mean4,2014,338,0.08077995830298852,0.16314838225755682,0.20914712563597837,0.7899408284023669
baseline:trailing_mean4,2015,331,0.11074118713674973,0.21413346312264714,0.07734294840807177,0.7552870090634441
baseline:trailing_mean4,2016,325,0.08511470888316844,0.16155218172090846,0.3235302990168616,0.796923076923077
baseline:trailing_mean4,2017,337,0.0988789691990974,0.17288206956044744,0.08255919656368638,0.7626112759643917
baseline:trailing_mean4,2018,373,0.12436050089882651,0.25525761103638295,0.1454529053605339,0.8230563002680965
baseline:trailing_mean4,2019,393,0.13112812828377984,0.23488516189066255,-0.22046041874004496,0.6946564885496184
baseline:trailing_mean4,2020,390,0.14797652920904628,0.23305091759173022,0.15910019801475206,0.7384615384615385
baseline:trailing_mean4,2021,388,0.2271868808368389,0.4102198549052369,-0.3917473289595299,0.7164948453608248
baseline:trailing_mean4,2022,388,0.14965471591879662,0.26043855259794035,0.2433018338650229,0.7963917525773195
baseline:trailing_mean4,2023,386,0.1656714260079265,0.3138150266825374,-0.3422582164651997,0.7227979274611399
baseline:trailing_mean4,2024,389,0.11464785794215111,0.25139543373651846,0.15547962194260745,0.6838046272493573
baseline:trailing_mean4,2025,395,0.07745328316851385,0.14765946533725896,-0.32164458630466686,0.769620253164557
baseline:trailing_mean4,2026,96,0.06225112734477537,0.08360725888125987,0.5009991719386636,0.7708333333333334
baseline:trailing_mean8,2014,338,0.09478549449627852,0.1870014795436458,-0.03901122421329761,0.7810650887573964
baseline:trailing_mean8,2015,331,0.12291311403845742,0.22088993829998232,0.018199855950931765,0.6888217522658611
baseline:trailing_mean8,2016,325,0.08535442445980353,0.15398342666620415,0.38543099353396515,0.7661538461538462
baseline:trailing_mean8,2017,337,0.12263331726867477,0.2048625507321125,-0.28825933323422537,0.6706231454005934
baseline:trailing_mean8,2018,373,0.1265951780253912,0.25109285047603663,0.17311084659339826,0.7908847184986595
baseline:trailing_mean8,2019,393,0.14195972993017517,0.22688764041435616,-0.1387652640832655,0.6921119592875318
baseline:trailing_mean8,2020,390,0.16651439117507796,0.24642146390065475,0.059844519092257076,0.6846153846153846
baseline:trailing_mean8,2021,388,0.23447672283704035,0.41023174126073275,-0.39182798348165093,0.6958762886597938
baseline:trailing_mean8,2022,388,0.1711933335581647,0.2887960125833096,0.06954682845333093,0.7680412371134021
baseline:trailing_mean8,2023,386,0.20231341667987263,0.3481060257492373,-0.6516258909376438,0.6813471502590673
baseline:trailing_mean8,2024,389,0.13682896903285854,0.28089554535586986,-0.05435064285308089,0.6452442159383034
baseline:trailing_mean8,2025,395,0.08480742858286248,0.14979820389189732,-0.360207955244936,0.7215189873417721
baseline:trailing_mean8,2026,96,0.07056103376352411,0.10216754061156606,0.2548577746526073,0.8125
catboost,2014,338,0.06695785299598359,0.1457057299650293,0.3692120100936238,0.8698224852071006
catboost,2015,331,0.08268041929936323,0.18531794149108832,0.3089552712433381,0.8277945619335347
catboost,2016,325,0.06482876917262878,0.13102133019777537,0.555054618576365,0.8307692307692308
catboost,2017,337,0.07344953290713885,0.1332520208828545,0.45496329006233927,0.8694362017804155
catboost,2018,373,0.10545266926834973,0.2359985295210805,0.26953872809942514,0.8498659517426274
catboost,2019,393,0.08362180035595682,0.16556216581257696,0.39363415277011293,0.806615776081425
catboost,2020,390,0.12859985470601923,0.1969413856649846,0.39949504638078026,0.7487179487179487
catboost,2021,388,0.16860700013988408,0.3145143439253457,0.18189705322214844,0.8402061855670103
catboost,2022,388,0.11298390950626368,0.23119733472990278,0.4036821883099897,0.8221649484536082
catboost,2023,386,0.10592870480365177,0.21819384825152616,0.35110623065406743,0.8367875647668394
catboost,2024,389,0.07952760273819054,0.17830243252154845,0.5751751627831945,0.7737789203084833
catboost,2025,395,0.062420924807571915,0.12946109013648277,-0.015945983439022093,0.7848101265822784
catboost,2026,96,0.050927631748571435,0.07662283061212564,0.580888401505962,0.875
elasticnet,2014,338,0.0848930752872196,0.15737802382257313,0.26410080288769966,0.7662721893491125
elasticnet,2015,331,0.09360261008506221,0.1915391739058462,0.2617789177004509,0.7915407854984894
elasticnet,2016,325,0.06953832050562177,0.13582999389826655,0.5217950614629956,0.8123076923076923
elasticnet,2017,337,0.07859583633860787,0.14255786592523192,0.3761782441321938,0.8724035608308606
elasticnet,2018,373,0.11342842003503847,0.24562870346929327,0.20870789439695492,0.8471849865951743
elasticnet,2019,393,0.09308364103553955,0.17786058022035714,0.30020321375079184,0.8015267175572519
elasticnet,2020,390,0.13445043715339772,0.20075818530782732,0.3759934641890803,0.7743589743589744
elasticnet,2021,388,0.16942219616821552,0.30847435470256385,0.21301732457929512,0.8427835051546392
elasticnet,2022,388,0.1202360220566485,0.22661336591861728,0.4270942537230418,0.7989690721649485
elasticnet,2023,386,0.10593657765900064,0.21784475498109282,0.3531809292684036,0.810880829015544
elasticnet,2024,389,0.08219757204070077,0.18486153735479033,0.5433447192321494,0.7532133676092545
elasticnet,2025,395,0.06535608599578359,0.12013340780471002,0.1251780085556068,0.7746835443037975
elasticnet,2026,96,0.05854496756467862,0.09358576673697823,0.37477994273413606,0.9166666666666666
ensemble,2014,338,0.06689249505542914,0.14459094067030664,0.3788273579055229,0.863905325443787
ensemble,2015,331,0.08316747698442901,0.17947655718400757,0.35183334663777266,0.8489425981873112
ensemble,2016,325,0.06320226683037815,0.13071764307139894,0.5571148569455269,0.8584615384615385
ensemble,2017,337,0.07115929400136639,0.13037614997885053,0.4782355923439394,0.8753709198813057
ensemble,2018,373,0.10248852029930496,0.23260574416386312,0.29039041674277055,0.8552278820375335
ensemble,2019,393,0.08317479891852632,0.1664242442821418,0.3873030459796275,0.816793893129771
ensemble,2020,390,0.127219263870767,0.19241217177332395,0.42679799762510373,0.764102564102564
ensemble,2021,388,0.15290839855339283,0.2807603039605648,0.34807377612944135,0.8685567010309279
ensemble,2022,388,0.10894855902859764,0.22603976778185403,0.42999083286191886,0.8427835051546392
ensemble,2023,386,0.10105883689415174,0.20980741232507097,0.40002900548047116,0.8367875647668394
ensemble,2024,389,0.07986680225676336,0.1808592993425604,0.5629037793025473,0.7609254498714653
ensemble,2025,395,0.05962791284111205,0.11434220811317126,0.20748909310430885,0.789873417721519
ensemble,2026,96,0.0538912451341265,0.0800440170695165,0.5426264474865281,0.8854166666666666
extra_trees,2014,338,0.07665747626450904,0.15471261399926145,0.28881661520026836,0.7544378698224852
extra_trees,2015,331,0.10525173575193024,0.19978886721772177,0.19681832237353059,0.7492447129909365
extra_trees,2016,325,0.07584613192952223,0.14403420430607997,0.4622827485739306,0.796923076923077
extra_trees,2017,337,0.07976346188660738,0.1471999230255674,0.33489025390776506,0.8605341246290801
extra_trees,2018,373,0.11681259243764314,0.24769593178277852,0.1953327078072078,0.839142091152815
extra_trees,2019,393,0.10017244530169502,0.1886505529265587,0.21272094214055182,0.7302798982188295
extra_trees,2020,390,0.1433409643470279,0.21149189758851766,0.30748356678106803,0.735897435897436
extra_trees,2021,388,0.18664998463777321,0.33500630071839516,0.07181831721779197,0.8376288659793815
extra_trees,2022,388,0.12413764250089479,0.24077271444389045,0.35326454053439627,0.7989690721649485
extra_trees,2023,386,0.12038799785033473,0.2363542523185221,0.23859549746690767,0.7435233160621761
extra_trees,2024,389,0.09064858556976152,0.22339797565673405,0.33311057595787696,0.6966580976863753
extra_trees,2025,395,0.06452694178426842,0.1113064508471307,0.24901239665819286,0.7569620253164557
extra_trees,2026,96,0.056325175713662017,0.08919914739803793,0.43201782990683135,0.8958333333333334
hist_gbm,2014,338,0.07389237576456414,0.1530879674146219,0.3036745514842212,0.7692307692307693
hist_gbm,2015,331,0.09753348254555859,0.1868316070910862,0.29762034596911713,0.7794561933534743
hist_gbm,2016,325,0.06772534781354411,0.1367054821559063,0.5156106829493705,0.8492307692307692
hist_gbm,2017,337,0.07312412360153037,0.13257593507983292,0.46048000589843097,0.8724035608308606
